speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
1695,Lamar,ALEXANDER,SENATOR,R,TN,N/A,A000360,114
1965,Michael,BENNET,SENATOR,D,CO,N/A,B001267,114
2102,Ami,BERA,REPRESENTATIVE,D,CA,7,B001287,114
2076,Richard,BLUMENTHAL,SENATOR,D,CT,N/A,B001277,114
1464,Roy,BLUNT,SENATOR,R,MO,N/A,B000575,114
1687,John,BOOZMAN,SENATOR,R,AR,N/A,B001236,114
2106,Julia,BROWN,REPRESENTATIVE,D,CA,26,B001285,114
2127,Cheri,BUSTOS,REPRESENTATIVE,D,IL,17,B001286,114
1761,G.,BUTTERFIELD,REPRESENTATIVE,D,NC,1,B001251,114
2197,Bradley,BYRNE,REPRESENTATIVE,R,AL,1,B001289,114
,,CARDIN,SENATOR,D,MD,N/A,99999999999999999,114
179,Thomas,CARPER,SENATOR,D,DE,N/A,C000174,114
1828,Robert,CASEY,SENATOR,D,PA,N/A,C001070,114
1925,Bill,CASSIDY,SENATOR,R,LA,N/A,C001075,114
99999999999999,First Name unavailable,CHENEY,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
2121,Doug,COLLINS,REPRESENTATIVE,R,GA,9,C001093,114
99999999999999,First Name unavailable,COMER,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
1984,Christopher,COONS,SENATOR,D,DE,N/A,C001088,114
1825,Bob,CORKER,SENATOR,R,TN,N/A,C001071,114
1692,John,CORNYN,SENATOR,R,TX,N/A,C001056,114
1836,Joe,COURTNEY,REPRESENTATIVE,D,CT,2,C001069,114
2175,Ted,CRUZ,SENATOR,R,TX,N/A,C001098,114
2123,Tammy,DUCKWORTH,REPRESENTATIVE,D,IL,8,D000622,114
326,Richard,DURBIN,SENATOR,D,IL,N/A,D000563,114
1542,Michael,ENZI,SENATOR,R,WY,N/A,E000285,114
99999999999999,First Name unavailable,EVANS,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
2179,Deb,FISCHER,SENATOR,R,NE,N/A,F000463,114
1791,Virginia,FOXX,REPRESENTATIVE,R,NC,5,F000450,114
414,Rodney,FRELINGHUYSEN,REPRESENTATIVE,R,NJ,11,F000372,114
478,Luis,GUTIERREZ,REPRESENTATIVE,D,IL,4,G000535,114
99999999999999,First Name unavailable,HASSAN,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
1351,Orrin,HATCH,SENATOR,R,UT,N/A,H000338,114
566,Steny,HOYER,REPRESENTATIVE,D,MD,5,H000874,114
1608,Johnny,ISAKSON,SENATOR,R,GA,N/A,I000055,114
616,Marcy,KAPTUR,REPRESENTATIVE,D,OH,8,K000009,114
2172,Joseph,KENNEDY,REPRESENTATIVE,D,MA,4,K000379,114
1724,Steve,KING,REPRESENTATIVE,R,IA,4,K000362,114
1383,Patrick,LEAHY,SENATOR,D,VT,N/A,L000174,114
2111,Alan,LOWENTHAL,REPRESENTATIVE,D,CA,47,L000579,114
1900,Jeff,MERKLEY,SENATOR,D,OR,N/A,M001176,114
99999999999999,First Name unavailable,MITCHELL,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
1837,Christopher,MURPHY,SENATOR,D,CT,N/A,M001169,114
1409,Patty,MURRAY,SENATOR,D,WA,N/A,M001111,114
1930,Erik,PAULSEN,REPRESENTATIVE,R,MN,3,P000594,114
2097,Donald,PAYNE,REPRESENTATIVE,D,NJ,10,P000604,114
2113,Scott,PETERS,REPRESENTATIVE,D,CA,52,P000608,114
,,PLASKETT,DELEGATE,I,VI,N/A,99999999999999999,114
1910,Jared,POLIS,REPRESENTATIVE,D,CO,2,P000598,114
99999999999999,First Name unavailable,RASKIN,Type Unavailable,Party Info Unavailable,state info unavailable,District Unavailable,BioGuideID unavailable,CongressID unavailable
2173,Brian,SCHATZ,SENATOR,D,HI,N/A,S001194,114
1036,Charles,SCHUMER,SENATOR,D,NY,N/A,S000148,114
1994,David,SCHWEIKERT,REPRESENTATIVE,R,AZ,6,S001183,114
1681,Bill,SHUSTER,REPRESENTATIVE,R,PA,9,S001154,114
1534,John,THUNE,SENATOR,R,SD,N/A,T000250,114
2291,Thom,TILLIS,SENATOR,R,NC,N/A,T000476,114
1567,Tom,UDALL,SENATOR,D,NM,N/A,U000039,114
1856,Timothy,WALZ,REPRESENTATIVE,D,MN,1,W000799,114
2182,Elizabeth,WARREN,SENATOR,D,MA,N/A,W000817,114
2224,Bruce,WESTERMAN,REPRESENTATIVE,R,AR,4,W000821,114
