speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
2201,Alma,ADAMS,REPRESENTATIVE,D,NC,12,A000370,114
2239,Rick,ALLEN,REPRESENTATIVE,R,GA,12,A000372,114
99999999999999,,ARRINGTON,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
2330,Mike,BACON,REPRESENTATIVE,R,LA,N/A,J000299,115
2238,Barry,BARR,REPRESENTATIVE,R,GA,11,L000583,114
2311,Nanette,BARRAGAN,REPRESENTATIVE,D,CA,N/A,B001300,115
1881,John,BARRASSO,SENATOR,R,WY,N/A,B001261,114
2153,Joyce,BEATTY,REPRESENTATIVE,D,OH,3,B001281,114
1965,Michael,BENNET,SENATOR,D,CO,N/A,B001267,114
2102,Ami,BERA,REPRESENTATIVE,D,CA,7,B001287,114
2330,Mike,BERGMAN,REPRESENTATIVE,R,LA,N/A,J000299,115
2272,Donald,BEYER,REPRESENTATIVE,D,VA,8,B001292,114
1838,Gus,BILIRAKIS,REPRESENTATIVE,R,FL,12,B001257,114
2063,Diane,BLACK,REPRESENTATIVE,R,TN,6,B001273,114
1748,Marsha,BLACKBURN,REPRESENTATIVE,R,TN,7,B001243,114
99,Earl,BLUMENAUER,REPRESENTATIVE,D,OR,3,B000574,114
2076,Richard,BLUMENTHAL,SENATOR,D,CT,N/A,B001277,114
1464,Roy,BLUNT,SENATOR,R,MO,N/A,B000575,114
2092,Suzanne,BONAMICI,REPRESENTATIVE,D,OR,1,B001278,114
2194,Cory,BOOKER,SENATOR,D,NJ,N/A,B001288,114
2106,Julia,BROWN,REPRESENTATIVE,D,CA,26,B001285,114
2018,Larry,BUCSHON,REPRESENTATIVE,R,IN,8,B001275,114
1751,Michael,BURGESS,REPRESENTATIVE,R,TX,26,B001248,114
153,Richard,BURR,SENATOR,R,NC,N/A,B001135,114
2127,Cheri,BUSTOS,REPRESENTATIVE,D,IL,17,B001286,114
2197,Bradley,BYRNE,REPRESENTATIVE,R,AL,1,B001289,114
172,Maria,CANTWELL,SENATOR,D,WA,N/A,C000127,114
1676,Shelley,CAPITO,SENATOR,R,WV,N/A,C001047,115
2330,Mike,CARBAJAL,REPRESENTATIVE,R,LA,N/A,J000299,115
2107,Tony,CARDENAS,REPRESENTATIVE,D,CA,29,C001097,114
,,CARDIN,SENATOR,D,MD,N/A,99999999999999999,114
179,Thomas,CARPER,SENATOR,D,DE,N/A,C000174,114
1828,Robert,CASEY,SENATOR,D,PA,N/A,C001070,114
1956,Jason,CHAFFETZ,REPRESENTATIVE,R,UT,3,C001076,114
2055,David,CICILLINE,REPRESENTATIVE,D,RI,1,C001084,114
208,James,CLYBURN,REPRESENTATIVE,D,SC,6,C000537,114
213,Thad,COCHRAN,SENATOR,R,MS,N/A,C000567,114
,,COHEN,REPRESENTATIVE,D,TN,9,99999999999999999,114
2259,Bonnie,COLE,REPRESENTATIVE,D,NJ,12,W000822,114
2121,Doug,COLLINS,REPRESENTATIVE,R,GA,9,C001093,114
1973,John,COMER,REPRESENTATIVE,D,CA,N/A,G000559,115
1805,K.,CONAWAY,REPRESENTATIVE,R,TX,11,C001062,114
1984,Christopher,COONS,SENATOR,D,DE,N/A,C001088,114
1692,John,CORNYN,SENATOR,R,TX,N/A,C001056,114
2312,J.,CORREA,REPRESENTATIVE,D,CA,N/A,C001110,115
1774,Jim,COSTA,REPRESENTATIVE,D,CA,16,C001059,114
2098,Tom,COTTON,SENATOR,R,AR,N/A,C001095,114
1836,Joe,COURTNEY,REPRESENTATIVE,D,CT,2,C001069,114
250,Mike,CRAPO,SENATOR,R,ID,N/A,C000880,114
2321,Charlie,CRIST,REPRESENTATIVE,D,FL,N/A,C001111,115
1604,Joseph,CROWLEY,REPRESENTATIVE,D,NY,14,C001038,114
256,Elijah,CUMMINGS,REPRESENTATIVE,D,MD,7,C000984,114
2138,Steve,DAINES,SENATOR,R,MT,N/A,D000618,114
2320,Val,DEMINGS,REPRESENTATIVE,D,FL,N/A,D000627,115
1976,Theodore,DEUTCH,REPRESENTATIVE,D,FL,21,D000610,114
1850,Joe,DONNELLY,SENATOR,D,IN,N/A,D000607,114
2123,Tammy,DUCKWORTH,REPRESENTATIVE,D,IL,8,D000622,114
326,Richard,DURBIN,SENATOR,D,IL,N/A,D000563,114
2253,Tom,EMMER,REPRESENTATIVE,R,MN,6,E000294,114
344,Eliot,ENGEL,REPRESENTATIVE,D,NY,16,E000179,114
1542,Michael,ENZI,SENATOR,R,WY,N/A,E000285,114
355,Anna,ESHOO,REPRESENTATIVE,D,CA,18,E000215,114
2342,Adriano,ESPAILLAT,REPRESENTATIVE,D,NY,N/A,E000297,115
2274,Stacey,EVANS,REPRESENTATIVE,D,VI,N/A,P000610,115
2067,Blake,FARENTHOLD,REPRESENTATIVE,R,TX,27,F000460,114
1332,Dianne,FEINSTEIN,SENATOR,D,CA,N/A,F000062,114
1797,Michael,FITZPATRICK,REPRESENTATIVE,R,PA,8,F000451,114
1633,Jeff,FLAKE,SENATOR,R,AZ,N/A,F000444,114
1793,Jeff,FORTENBERRY,REPRESENTATIVE,R,NE,1,F000449,114
1791,Virginia,FOXX,REPRESENTATIVE,R,NC,5,F000450,114
1969,Al,FRANKEN,SENATOR,D,MN,N/A,F000457,114
2314,Matt,GAETZ,REPRESENTATIVE,R,FL,N/A,G000578,115
2330,Mike,GALLAGHER,REPRESENTATIVE,R,LA,N/A,J000299,115
1973,John,GARAMENDI,REPRESENTATIVE,D,CA,3,G000559,114
99999999999999,,GARDNER,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
1801,Louie,GOHMERT,REPRESENTATIVE,R,TX,1,G000552,114
446,Bob,GOODLATTE,REPRESENTATIVE,R,VA,6,G000289,114
1992,Paul,GOSAR,REPRESENTATIVE,R,AZ,4,G000565,114
457,Chuck,GRASSLEY,SENATOR,R,IA,N/A,G000386,114
1708,Raul,GRIJALVA,REPRESENTATIVE,D,AZ,3,G000551,114
478,Luis,GUTIERREZ,REPRESENTATIVE,D,IL,4,G000535,114
1753,Rob,HANABUSA,REPRESENTATIVE,R,UT,N/A,B001250,115
2026,Andy,HARRIS,REPRESENTATIVE,R,MD,1,H001052,114
2032,Vicky,HARTZLER,REPRESENTATIVE,R,MO,4,H001053,114
1881,John,HASSAN,SENATOR,R,WY,N/A,B001261,115
511,Alcee,HASTINGS,REPRESENTATIVE,D,FL,20,H000324,114
1351,Orrin,HATCH,SENATOR,R,UT,N/A,H000338,114
2040,Joseph,HECK,REPRESENTATIVE,R,NV,3,H001055,114
1937,Martin,HEINRICH,SENATOR,D,NM,N/A,H001046,114
2174,Heidi,HEITKAMP,SENATOR,D,ND,N/A,H001069,114
2223,J.,HILL,REPRESENTATIVE,R,AR,2,H001072,114
1844,Mazie,HIRONO,SENATOR,D,HI,N/A,H001042,114
566,Steny,HOYER,REPRESENTATIVE,D,MD,5,H000874,114
2101,Jared,HUFFMAN,REPRESENTATIVE,D,CA,2,H001068,114
2015,Randy,HULTGREN,REPRESENTATIVE,R,IL,14,H001059,114
583,James,INHOFE,SENATOR,R,OK,N/A,I000024,114
2063,Diane,JAYAPAL,REPRESENTATIVE,R,TN,N/A,B001273,115
2149,Hakeem,JEFFRIES,REPRESENTATIVE,D,NY,8,J000294,114
,,JOHNSON,REPRESENTATIVE,R,GA,4,99999999999999999,114
2176,Tim,KAINE,SENATOR,D,VA,N/A,K000384,114
616,Marcy,KAPTUR,REPRESENTATIVE,D,OH,8,K000009,114
2264,John,KATKO,REPRESENTATIVE,R,NY,24,K000386,114
2025,William,KEATING,REPRESENTATIVE,D,MA,9,K000375,114
2330,Mike,KHANNA,REPRESENTATIVE,R,LA,N/A,J000299,115
2340,Ruben,KIHUEN,REPRESENTATIVE,D,NV,N/A,K000390,115
2134,Daniel,KILDEE,REPRESENTATIVE,D,MI,5,K000380,114
