speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
2244,Ralph,ABRAHAM,REPRESENTATIVE,R,LA,5,A000374,114
2201,Alma,ADAMS,REPRESENTATIVE,D,NC,12,A000370,114
1695,Lamar,ALEXANDER,SENATOR,R,TN,N/A,A000360,114
2239,Rick,ALLEN,REPRESENTATIVE,R,GA,12,A000372,114
446,Bob,ARRINGTON,REPRESENTATIVE,R,VA,N/A,G000289,115
2270,Brian,BABIN,REPRESENTATIVE,R,TX,36,B001291,114
99999999999999,,BACON,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
1558,Tammy,BALDWIN,SENATOR,D,WI,N/A,B001230,114
2238,Barry,BARR,REPRESENTATIVE,R,GA,11,L000583,114
2311,Nanette,BARRAGAN,REPRESENTATIVE,D,CA,N/A,B001300,115
1881,John,BARRASSO,SENATOR,R,WY,N/A,B001261,114
2153,Joyce,BEATTY,REPRESENTATIVE,D,OH,3,B001281,114
1965,Michael,BENNET,SENATOR,D,CO,N/A,B001267,114
2102,Ami,BERA,REPRESENTATIVE,D,CA,7,B001287,114
2333,Jack,BERGMAN,REPRESENTATIVE,R,MI,N/A,B001301,115
2272,Donald,BEYER,REPRESENTATIVE,D,VA,8,B001292,114
446,Bob,BIGGS,REPRESENTATIVE,R,VA,N/A,G000289,115
1838,Gus,BILIRAKIS,REPRESENTATIVE,R,FL,12,B001257,114
1748,Marsha,BLACKBURN,REPRESENTATIVE,R,TN,7,B001243,114
2076,Richard,BLUM,SENATOR,D,CT,N/A,B001277,114
99,Earl,BLUMENAUER,REPRESENTATIVE,D,OR,3,B000574,114
2076,Richard,BLUMENTHAL,SENATOR,D,CT,N/A,B001277,114
1464,Roy,BLUNT,SENATOR,R,MO,N/A,B000575,114
2092,Suzanne,BONAMICI,REPRESENTATIVE,D,OR,1,B001278,114
2194,Cory,BOOKER,SENATOR,D,NJ,N/A,B001288,114
1687,John,BOOZMAN,SENATOR,R,AR,N/A,B001236,114
2243,Mike,BOST,REPRESENTATIVE,R,IL,12,B001295,114
2155,Jim,BRIDENSTINE,REPRESENTATIVE,R,OK,1,B001283,114
2106,Julia,BROWN,REPRESENTATIVE,D,CA,26,B001285,114
1751,Michael,BURGESS,REPRESENTATIVE,R,TX,26,B001248,114
2127,Cheri,BUSTOS,REPRESENTATIVE,D,IL,17,B001286,114
2197,Bradley,BYRNE,REPRESENTATIVE,R,AL,1,B001289,114
172,Maria,CANTWELL,SENATOR,D,WA,N/A,C000127,114
446,Bob,CARBAJAL,REPRESENTATIVE,R,VA,N/A,G000289,115
2107,Tony,CARDENAS,REPRESENTATIVE,D,CA,29,C001097,114
,,CARDIN,SENATOR,D,MD,N/A,99999999999999999,114
179,Thomas,CARPER,SENATOR,D,DE,N/A,C000174,114
2159,Matt,CARTWRIGHT,REPRESENTATIVE,D,PA,17,C001090,114
1828,Robert,CASEY,SENATOR,D,PA,N/A,C001070,114
1925,Bill,CASSIDY,SENATOR,R,LA,N/A,C001075,114
186,Steve,CHABOT,REPRESENTATIVE,R,OH,1,C000266,114
1956,Jason,CHAFFETZ,REPRESENTATIVE,R,UT,3,C001076,114
2055,David,CICILLINE,REPRESENTATIVE,D,RI,1,C001084,114
1654,Wm.,CLAY,REPRESENTATIVE,D,MO,1,C001049,114
208,James,CLYBURN,REPRESENTATIVE,D,SC,6,C000537,114
213,Thad,COCHRAN,SENATOR,R,MS,N/A,C000567,114
,,COHEN,REPRESENTATIVE,D,TN,9,99999999999999999,114
2121,Doug,COLLINS,REPRESENTATIVE,R,GA,9,C001093,114
2273,Barbara,COMSTOCK,REPRESENTATIVE,R,VA,10,C001105,114
1959,Gerald,CONNOLLY,REPRESENTATIVE,D,VA,11,C001078,114
229,John,CONYERS,REPRESENTATIVE,D,MI,13,C000714,114
1984,Christopher,COONS,SENATOR,D,DE,N/A,C001088,114
1825,Bob,CORKER,SENATOR,R,TN,N/A,C001071,114
1692,John,CORNYN,SENATOR,R,TX,N/A,C001056,114
446,Bob,CORREA,REPRESENTATIVE,R,VA,N/A,G000289,115
2098,Tom,COTTON,SENATOR,R,AR,N/A,C001095,114
1836,Joe,COURTNEY,REPRESENTATIVE,D,CT,2,C001069,114
99999999999999,,CRIST,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
1604,Joseph,CROWLEY,REPRESENTATIVE,D,NY,14,C001038,114
2175,Ted,CRUZ,SENATOR,R,TX,N/A,C001098,114
256,Elijah,CUMMINGS,REPRESENTATIVE,D,MD,7,C000984,114
2138,Steve,DAINES,SENATOR,R,MT,N/A,D000618,114
446,Bob,DAVIDSON,REPRESENTATIVE,R,VA,N/A,G000289,115
2320,Val,DEMINGS,REPRESENTATIVE,D,FL,N/A,D000627,115
1995,Jeff,DENHAM,REPRESENTATIVE,R,CA,10,D000612,114
1976,Theodore,DEUTCH,REPRESENTATIVE,D,FL,21,D000610,114
303,Lloyd,DOGGETT,REPRESENTATIVE,D,TX,35,D000399,114
1850,Joe,DONNELLY,SENATOR,D,IN,N/A,D000607,114
446,Bob,DUNN,REPRESENTATIVE,R,VA,N/A,G000289,115
326,Richard,DURBIN,SENATOR,D,IL,N/A,D000563,114
2253,Tom,EMMER,REPRESENTATIVE,R,MN,6,E000294,114
344,Eliot,ENGEL,REPRESENTATIVE,D,NY,16,E000179,114
1542,Michael,ENZI,SENATOR,R,WY,N/A,E000285,114
355,Anna,ESHOO,REPRESENTATIVE,D,CA,18,E000215,114
2342,Adriano,ESPAILLAT,REPRESENTATIVE,D,NY,N/A,E000297,115
2114,Elizabeth,ESTY,REPRESENTATIVE,D,CT,5,E000293,114
2067,Blake,FARENTHOLD,REPRESENTATIVE,R,TX,27,F000460,114
446,Bob,FASO,REPRESENTATIVE,R,VA,N/A,G000289,115
1332,Dianne,FEINSTEIN,SENATOR,D,CA,N/A,F000062,114
2179,Deb,FISCHER,SENATOR,R,NE,N/A,F000463,114
1633,Jeff,FLAKE,SENATOR,R,AZ,N/A,F000444,114
,,FLORES,REPRESENTATIVE,R,TX,17,99999999999999999,114
1791,Virginia,FOXX,REPRESENTATIVE,R,NC,5,F000450,114
1969,Al,FRANKEN,SENATOR,D,MN,N/A,F000457,114
1895,Marcia,FUDGE,REPRESENTATIVE,D,OH,11,F000455,114
2122,Tulsi,GABBARD,REPRESENTATIVE,D,HI,2,G000571,114
99999999999999,,GAETZ,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
446,Bob,GALLAGHER,REPRESENTATIVE,R,VA,N/A,G000289,115
1973,John,GARAMENDI,REPRESENTATIVE,D,CA,3,G000559,114
1737,Scott,GARRETT,REPRESENTATIVE,R,NJ,5,G000548,114
2049,Bob,GIBBS,REPRESENTATIVE,R,OH,7,G000563,114
1801,Louie,GOHMERT,REPRESENTATIVE,R,TX,1,G000552,114
446,Bob,GOODLATTE,REPRESENTATIVE,R,VA,6,G000289,114
457,Chuck,GRASSLEY,SENATOR,R,IA,N/A,G000386,114
2070,H.,GRIFFITH,REPRESENTATIVE,R,VA,9,G000568,114
1708,Raul,GRIJALVA,REPRESENTATIVE,D,AZ,3,G000551,114
1922,Brett,GUTHRIE,REPRESENTATIVE,R,KY,2,G000558,114
478,Luis,GUTIERREZ,REPRESENTATIVE,D,IL,4,G000535,114
1933,Gregg,HARPER,REPRESENTATIVE,R,MS,3,H001045,114
1351,Orrin,HATCH,SENATOR,R,UT,N/A,H000338,114
1937,Martin,HEINRICH,SENATOR,D,NM,N/A,H001046,114
1749,Jeb,HENSARLING,REPRESENTATIVE,R,TX,5,H001036,114
2223,J.,HILL,REPRESENTATIVE,R,AR,2,H001072,114
1844,Mazie,HIRONO,SENATOR,D,HI,N/A,H001042,114
2143,George,HOLDING,REPRESENTATIVE,R,NC,13,H001065,114
99999999999999,,HOLLINGSWORTH,N/A,Party information Unavailable,State Info Unavailable,N/A,9999999999999999,115
566,Steny,HOYER,REPRESENTATIVE,D,MD,5,H000874,114
2028,Bill,HUIZENGA,REPRESENTATIVE,R,MI,2,H001058,114
